Date,Open,High,Low,Close,Volume
28/04/2022,55.77,57.89,52.8,56.82,385564
29/04/2022,54.21,59.01,53.6,54.95,302457
2/05/2022,54.68,58.4,54.5,58.33,350023
3/05/2022,57.9,60.9,57.8,59.71,293937
4/05/2022,59.08,62.13,56.45,61.83,521944
5/05/2022,51.78,54.53,50.52,52.96,539217
6/05/2022,51.5,51.51,46,48.61,493779
9/05/2022,46.8,47.97,43.83,44.24,448304
10/05/2022,46.05,47.33,41.44,43.69,529789
11/05/2022,43.17,44.63,40.9,41.44,657958
12/05/2022,41.06,50,40.2,46.23,555767
13/05/2022,48.56,53,48.56,51.97,479037
16/05/2022,51.89,51.89,45.86,46.28,441457
17/05/2022,48.5,49.42,44.56,47.75,329129
18/05/2022,46.17,48.72,45.63,46.49,279842
19/05/2022,46.33,52.9,46.2,50.17,461812
20/05/2022,51.5,51.5,43.72,46.63,448756
24/05/2022,45.34,45.54,40.92,41.62,467122
25/05/2022,41.96,43.12,40.91,42.68,306882
26/05/2022,42.39,45.61,41.8,44.88,319108
27/05/2022,45.74,47.3,45.36,46.93,277454
30/05/2022,47.52,49.22,47.52,48.66,119361
31/05/2022,47.52,48.9,45.85,47.49,469865
1/06/2022,47.91,49.53,44.59,45.73,318381
2/06/2022,45.98,50.39,45.4,50.11,275588
3/06/2022,48.47,48.47,43.87,44.51,432516
6/06/2022,46,47,44.6,45.25,271658
7/06/2022,44.6,47.71,44.07,47.65,431506
8/06/2022,47.79,49.52,47.3,49.11,392924
9/06/2022,48.87,50.13,47.12,47.15,323838
10/06/2022,45.52,46.3,43.41,44.49,303267
13/06/2022,42.6,43.5,40.16,40.32,307568
14/06/2022,40.99,41.47,38.63,39.31,373665
15/06/2022,39.86,42.74,39.5,42.02,538182
16/06/2022,40.82,41.29,38.77,39.45,300226
17/06/2022,39.95,42.5,39.95,41.28,726935
20/06/2022,41.51,42.08,41.32,42.03,62471
21/06/2022,41.83,43.51,41.77,42.38,267830
22/06/2022,41.9,45,41.8,43.86,366519
23/06/2022,44.47,47.43,43.11,47.22,316634
