Date,Open,High,Low,Close,Adj Close,Volume
29/03/2023,4.613,4.633,4.4,4.63,4.63,0
30/03/2023,4.628,4.665,4.575,4.665,4.665,0
31/03/2023,4.635,4.645,4.58,4.585,4.585,0
2/04/2023,null,null,null,null,null,null
3/04/2023,4.618,4.64,4.56,4.57,4.57,0
4/04/2023,4.758,4.76,4.725,4.728,4.728,0
5/04/2023,4.705,4.713,4.6,4.705,4.705,0
6/04/2023,4.675,4.718,4.668,4.71,4.71,0
9/04/2023,null,null,null,null,null,null
10/04/2023,4.748,4.87,4.723,4.838,4.838,0
11/04/2023,4.903,4.91,4.86,4.88,4.88,0
12/04/2023,4.878,4.893,4.65,4.86,4.86,0
13/04/2023,4.838,4.858,4.82,4.855,4.855,0
14/04/2023,4.845,4.903,4.81,4.903,4.903,0
16/04/2023,null,null,null,null,null,null
17/04/2023,4.893,4.993,4.89,4.923,4.923,0
18/04/2023,5.02,5.04,5.005,5.03,5.03,0
19/04/2023,5.035,5.038,4.985,4.995,4.995,0
20/04/2023,4.96,4.965,4.903,4.945,4.945,0
21/04/2023,4.94,4.958,4.893,4.95,4.95,0
23/04/2023,null,null,null,null,null,null
24/04/2023,4.945,4.985,4.843,4.873,4.873,0
25/04/2023,4.99,5.005,4.93,4.953,4.953,0
26/04/2023,4.968,5,4.9,4.985,4.985,0
27/04/2023,4.973,5.045,4.97,5,5,0
28/04/2023,4.983,4.998,4.923,4.923,4.923,0
30/04/2023,null,null,null,null,null,null
1/05/2023,4.928,4.95,4.86,4.865,4.865,0
2/05/2023,5.068,5.088,5.015,5.04,5.04,0
3/05/2023,5.073,5.095,4.9,5.095,5.095,0
4/05/2023,5.048,5.14,5.008,5.055,5.055,0
5/05/2023,5.055,5.118,5.028,5.08,5.08,0
7/05/2023,null,null,null,null,null,null
8/05/2023,5.09,5.09,5.063,5.083,5.083,0
9/05/2023,5.105,5.13,5.04,5.123,5.123,0
10/05/2023,5.118,5.118,5.058,5.065,5.065,0
11/05/2023,5.058,5.058,4.998,5.015,5.015,0
12/05/2023,5.005,5.033,4.995,5.028,5.028,0
14/05/2023,null,null,null,null,null,null
15/05/2023,5.035,5.038,4.99,5,5,0
16/05/2023,5.038,5.058,5.015,5.058,5.058,0
17/05/2023,5.055,5.1,4.9,5.088,5.088,0
18/05/2023,5.078,5.125,5.043,5.125,5.125,0
19/05/2023,5.06,5.12,5.06,5.085,5.085,0
21/05/2023,null,null,null,null,null,null
22/05/2023,5.098,5.12,5.063,5.095,5.095,0
23/05/2023,5.205,5.22,5.15,5.153,5.153,0
24/05/2023,5.15,5.198,5,5.185,5.185,0
25/05/2023,5.183,5.21,5.158,5.163,5.163,0
26/05/2023,5.148,5.163,5.085,5.115,5.115,0
28/05/2023,null,null,null,null,null,null
30/05/2023,5.11,5.15,5.105,5.143,5.143,0
31/05/2023,5.238,5.275,5,5.248,5.248,0
1/06/2023,5.223,5.225,5.145,5.203,5.203,0
2/06/2023,5.193,5.248,5.185,5.215,5.215,0
4/06/2023,null,null,null,null,null,null
5/06/2023,5.2,5.203,5.138,5.143,5.143,0
6/06/2023,5.16,5.193,5.118,5.158,5.158,0
7/06/2023,5.145,5.165,5.1,5.153,5.153,0
8/06/2023,5.143,5.145,5.093,5.1,5.1,0
9/06/2023,5.09,5.108,5.085,5.095,5.095,0
11/06/2023,null,null,null,null,null,null
12/06/2023,5.098,5.105,5.083,5.095,5.095,0
13/06/2023,5.13,5.13,5.04,5.1,5.1,0
14/06/2023,5.093,5.105,5,5.08,5.08,0
15/06/2023,5.07,5.078,5.055,5.055,5.055,0
16/06/2023,5.06,5.07,5.045,5.065,5.065,0
18/06/2023,null,null,null,null,null,null
20/06/2023,5.065,5.08,5.065,5.075,5.075,0
21/06/2023,5.13,5.14,5,5.135,5.135,0
22/06/2023,5.13,5.138,5.118,5.135,5.135,0
23/06/2023,5.118,5.14,5.118,5.138,5.138,0
25/06/2023,null,null,null,null,null,null
26/06/2023,5.138,5.16,5.133,5.155,5.155,0
27/06/2023,5.18,5.185,5.175,5.18,5.18,0
28/06/2023,5.168,5.175,5.165,5.17,5.17,0
29/06/2023,5.163,5.185,5.163,5.175,5.175,0
30/06/2023,5.168,5.168,5.14,5.153,5.153,0
2/07/2023,null,null,null,null,null,null
3/07/2023,5.138,5.15,5.128,5.145,5.145,0
5/07/2023,5.203,5.203,5.173,5.193,5.193,0
6/07/2023,5.208,5.22,5.2,5.213,5.213,0
7/07/2023,5.215,5.218,5.205,5.213,5.213,0
9/07/2023,null,null,null,null,null,null
10/07/2023,5.208,5.228,5.185,5.225,5.225,0
11/07/2023,5.24,5.25,5.24,5.243,5.243,0
12/07/2023,5.24,5.24,5.1,5.23,5.23,0
13/07/2023,5.218,5.23,5.205,5.223,5.223,0
14/07/2023,5.223,5.233,5.208,5.215,5.215,0
16/07/2023,null,null,null,null,null,null
17/07/2023,5.223,5.238,5.218,5.233,5.233,0
18/07/2023,5.243,5.248,5.243,5.248,5.248,0
19/07/2023,5.245,5.25,5.1,5.245,5.245,0
20/07/2023,5.245,5.248,5.24,5.243,5.243,0
21/07/2023,5.243,5.248,5.24,5.248,5.248,0
23/07/2023,null,null,null,null,null,null
24/07/2023,5.253,5.255,5.25,5.25,5.25,0
25/07/2023,5.265,5.268,5.26,5.265,5.265,0
